bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://qrowd-project.eu/resource/rastrelliere.3,"LINESTRING (11.120688967878909 46.06963120972962, 11.120822572033136 46.069647877648336)",,,,monofacciale,32,,,via Roma  n.posti  32  -  monofacciale,via Roma  n.posti  32  -  monofacciale,ZTL,via Roma,trento,
http://linkedgeodata.org/triplify/node1300215314,POINT(11.1236914 46.0694713),http://linkedgeodata.org/triplify/user330007,2011-05-25T23:46:54,,,8,,,,,,,osm,
http://linkedgeodata.org/triplify/node557197356,POINT(11.1218248 46.067556),http://linkedgeodata.org/triplify/user330007,2010-09-24T21:21:34,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack14,POINT (11.1239084635 46.0684084395),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack14-rastrelliere.20
http://linkedgeodata.org/triplify/node2513343048,POINT(11.1198196 46.0688705),http://linkedgeodata.org/triplify/user330007,2013-10-29T22:23:55,,,4,,,,,,,osm,
http://linkedgeodata.org/triplify/node2407332591,POINT(11.1264767 46.0694326),http://linkedgeodata.org/triplify/user330007,2013-08-04T23:04:14,,,4,,,,,,,osm,
http://linkedgeodata.org/triplify/node1313709030,POINT(11.1207847 46.0696153),http://linkedgeodata.org/triplify/user330007,2011-06-06T02:48:58,,,32,,,,,,,osm,
http://linkedgeodata.org/triplify/node1123469924,POINT(11.1201134 46.0697515),http://linkedgeodata.org/triplify/user330007,2011-06-06T02:49:01,,,10,,,,,,,osm,
http://linkedgeodata.org/triplify/node2074585041,POINT(11.123487 46.067206),http://linkedgeodata.org/triplify/user330007,2012-12-19T15:05:42,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.21,"LINESTRING (11.125470390211504 46.06804753753646, 11.125342525464102 46.06810863673532)",,,,monofacciale,16,,,via Galilei  n.posti  16  -  monofacciale,via Galilei  n.posti  16  -  monofacciale,ZTL,via Galilei,trento,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack23,POINT (11.1247100774 46.065745297),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack23-rastrelliere.35
http://linkedgeodata.org/triplify/node2591984558,POINT(11.1190189 46.0704715),http://linkedgeodata.org/triplify/user330007,2013-12-23T21:23:47,,,5,,,,,,,osm,
http://linkedgeodata.org/triplify/node1271504854,POINT(11.121141 46.0716587),http://linkedgeodata.org/triplify/user330007,2011-05-25T23:46:57,,,8,,,,,,,osm,
http://linkedgeodata.org/triplify/node927359055,POINT(11.1220149 46.0691011),http://linkedgeodata.org/triplify/user330007,2010-09-27T00:50:41,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.26,"LINESTRING (11.119898102537892 46.06757343796188, 11.119956820174307 46.067574263224785)",,,,monofacciale,8,,,piazza Verzeri  n.posti  8  -  monofacciale,piazza Verzeri  n.posti  8  -  monofacciale,ZTL,piazza Verzeri,trento,
http://qrowd-project.eu/resource/rastrelliere.8,"LINESTRING (11.126645594271075 46.07049639512551, 11.126682150737663 46.070493161584466)",,,,monofacciale,4,,,via S. Marco  n.posti  4  -  monofacciale,via S. Marco  n.posti  4  -  monofacciale,ZTL,via S. Marco,trento,http://example.org/cluster/bikerack39-rastrelliere.8
http://linkedgeodata.org/triplify/node885670138,POINT(11.1210963 46.0715348),http://linkedgeodata.org/triplify/user330007,2011-05-25T23:46:56,,,10,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.14,"LINESTRING (11.125975396802724 46.06894830847814, 11.125997457701066 46.06890194281257)",,,,monofacciale,12,,,via S. Maria Maddalena  n.posti  12  -  monofacciale,via S. Maria Maddalena  n.posti  12  -  monofacciale,ZTL,via S. Maria Maddalena,trento,http://example.org/cluster/bikerack18-rastrelliere.14
http://linkedgeodata.org/triplify/node889555501,POINT(11.124031 46.0661549),http://linkedgeodata.org/triplify/user330007,2010-10-05T21:16:56,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node2074585048,POINT(11.1233899 46.0672526),http://linkedgeodata.org/triplify/user330007,2012-12-19T15:05:42,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.20,"LINESTRING (11.123910303244614 46.068421852670404, 11.123864948919916 46.068386952923845)",,,,monofacciale,8,,,largo Carducci  n.posti  8  -  monofacciale,largo Carducci  n.posti  8  -  monofacciale,ZTL,largo Carducci,trento,http://example.org/cluster/bikerack14-rastrelliere.20
http://linkedgeodata.org/triplify/node948758405,POINT(11.1213468 46.0696893),http://linkedgeodata.org/triplify/user330007,2011-06-06T02:49:06,,,44,,,,,,,osm,
http://linkedgeodata.org/triplify/way80767213,"LINESTRING(11.1192099 46.0665817,11.1194833 46.066611,11.1194802 46.0666246,11.1192068 46.0665953,11.1192099 46.0665817)",http://linkedgeodata.org/ontology/user135609,2014-06-26T17:53:26,,wall_loops,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack15,POINT (11.1229762692 46.0650817962),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack2,POINT (11.1216423305 46.0697098545),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node2673313376,POINT(11.1240383 46.0719182),http://linkedgeodata.org/triplify/user330007,2014-02-15T19:33:59,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node969087731,POINT(11.1201112 46.0686736),http://linkedgeodata.org/triplify/user330007,2010-10-29T21:42:35,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node963712275,POINT(11.1203361 46.0693289),http://linkedgeodata.org/triplify/user330007,2010-10-24T20:51:08,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node1312440696,POINT(11.1206975 46.0688755),http://linkedgeodata.org/triplify/user330007,2011-06-05T01:19:31,,,3,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.36,"LINESTRING (11.122914587744745 46.06505994243169, 11.123014828587975 46.065067653732456)",,,,monofacciale,15,,,via Al Torrione  n.posti  15  -  monofacciale,via Al Torrione  n.posti  15  -  monofacciale,ZTL,via Al Torrione,trento,
