bikerack,wkt,contributor,modified,access,capacity,dataset,covered,parking,description,stuff,label,area,streetName,prove,cluster
http://qrowd-project.eu/resource/node880590612,POINT(11.1226663 46.0697881),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node1366801180,POINT(11.1259523 46.0689405),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/07701b13-d002-4c65-81fe-bf397c5e8968,"LINESTRING (11.123951873553635 46.069911430587126, 11.12406315781224 46.06994382803291)",,,,12,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node890486735,POINT(11.124673 46.0659986),,,,12,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node948758405,POINT(11.1213468 46.0696893),,,,44,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node880590952,POINT(11.1227012 46.0678245),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node927359055,POINT(11.1220149 46.0691011),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node1313709021,POINT(11.122631 46.0684829),,,,12,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/a02725b0-2a79-4b05-a0e2-eef912559cc7,POINT (11.1246841726 46.0711539162),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/4deb7114-4e6f-4316-9696-2bdfe34837ee,"LINESTRING (11.122624644678623 46.068492339699375, 11.122618898597556 46.06839032391379)",,,,12,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/way80767213,"LINESTRING(11.1192099 46.0665817,11.1194833 46.066611,11.1194802 46.0666246,11.1192068 46.0665953,11.1192099 46.0665817)",,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/4f75b895-928a-49c6-bfd5-7b33bd266ec2,POINT (11.1244586258 46.0684404551),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/91cba8e3-9a04-4a9d-83ed-61a53c8f9bcd,"LINESTRING (11.124149922261008 46.06599198688207, 11.124143668815917 46.066020186859824)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1307179778,POINT(11.1259977 46.0707536),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/7e01893f-0f44-4b03-a6c1-15127ebff7a1,POINT (11.1252066668 46.0672470962),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/d4660213-faff-4757-94dc-f717620e6445,"LINESTRING (11.123416347707172 46.069290140261195, 11.123420157427448 46.06924602911187)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/38ca9074-95b2-44ce-bfe5-e9def2608ac6,POINT (11.1193849947 46.0666094995),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/5bb4cdbc-5b9f-4741-a476-4307b02a7637,POINT (11.1230164039 46.0669560567),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node557197356,POINT(11.1218248 46.067556),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/d03e7d78-ecf1-4ebd-a74d-89b40effafa3,POINT (11.1239084635 46.0684084395),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node2074585041,POINT(11.123487 46.067206),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/4976c6b5-80e5-4f77-9750-eb153f5fbc10,POINT (11.1247105539 46.0695750693),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/24edb476-9e69-41cb-b292-b6f455011b19,POINT (11.1240690252 46.0669032779),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1474641648,POINT(11.1225282 46.0652357),,,,20,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/a1ec3fa2-9e36-43f2-93c7-3b849d1a0c45,POINT (11.1214521435 46.0696817002),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/7bcc20fe-e34e-4720-9b2a-5e35aa8eee7a,"LINESTRING (11.118728176085808 46.06963695256799, 11.118705985107002 46.06972799782711)",,,,12,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/0b0900a0-29bc-4131-a0f3-7ff389ba8889,"LINESTRING (11.124669447094396 46.06574313617058, 11.12470432712304 46.06574408316371)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node969087731,POINT(11.1201112 46.0686736),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/bbd4b840-312b-4388-b827-46fe0b72b9f6,POINT (11.1245305078 46.0692045646),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1300215314,POINT(11.1236914 46.0694713),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/way80767282,"LINESTRING(11.1200976 46.0666727,11.1200944 46.0666869,11.119822 46.0666577,11.1198252 46.0666434,11.1200976 46.0666727)",,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/b91dd7f6-79b1-4d21-a398-d012f83d5bb2,POINT (11.1240523371 46.069898792),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/c18ac6f9-4e00-49dc-96b9-83136ec643e7,POINT (11.1226542426 46.0684144598),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/daefd4af-8111-4528-8d9b-f18c52a9d03d,POINT (11.1260397836 46.0707322854),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/3bbbe5fa-f697-4faa-add0-eaa77fbeaf58,"LINESTRING (11.12407790741104 46.06844043776002, 11.124153193321138 46.06844286762739)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1123469919,POINT(11.1201006 46.0698076),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/d0e16b04-eea8-41ab-89a1-d1f0595189d3,"LINESTRING (11.124110411322143 46.0661810099951, 11.124122246721164 46.06613100519016)",,,,13,,,,,,,,,Rastrelliere per biciclette,
